round,driver_abbr,finishing_position
1,RUS,1
1,ANT,2
1,LEC,3
1,HAM,4
1,NOR,5
1,VER,6
1,BEA,7
1,LIN,8
1,BOR,9
1,GAS,10
1,OCO,11
1,ALB,12
1,LAW,13
1,COL,14
1,SAI,15
1,PER,16
1,STR,17
1,ALO,18
1,BOT,19
1,HAD,20
1,PIA,21
1,HUL,22
2,ANT,1
2,RUS,2
2,HAM,3
2,LEC,4
2,BEA,5
2,GAS,6
2,LAW,7
2,HAD,8
2,SAI,9
2,COL,10
2,HUL,11
2,LIN,12
2,BOT,13
2,OCO,14
2,PER,15
2,VER,16
2,ALO,17
2,STR,18
2,PIA,19
2,NOR,20
2,BOR,21
2,ALB,22
3,ANT,1
3,PIA,2
3,LEC,3
3,RUS,4
3,NOR,5
3,HAM,6
3,GAS,7
3,VER,8
3,LAW,9
3,OCO,10
3,HUL,11
3,HAD,12
3,BOR,13
3,LIN,14
3,SAI,15
3,COL,16
3,PER,17
3,ALO,18
3,BOT,19
3,ALB,20
3,STR,21
3,BEA,22
4,ANT,1
4,NOR,2
4,PIA,3
4,RUS,4
4,VER,5
4,HAM,6
4,COL,7
4,LEC,8
4,SAI,9
4,ALB,10
4,BEA,11
4,BOR,12
4,OCO,13
4,LIN,14
4,ALO,15
4,PER,16
4,STR,17
4,BOT,18
4,HUL,19
4,LAW,20
4,GAS,21
4,HAD,22
